run_dir,run,variant,domain,iteration,seed,metrics_path,epochs,best_epoch,best_val_acc,best_val_precision,best_val_recall,best_val_f1,best_train_full_acc,generalization_gap,feature_embeddings,result_path,best_train_dual_d_contrastive,best_train_dual_d_generator_total,best_train_dual_d_prototype_contrastive,best_train_dual_d_adv_auxiliary,best_train_dual_d_classification_feedback,best_train_dual_d_identity,best_train_dual_d_adv_primary,best_train_acc_source_like,best_train_acc_target_like,best_train_dual_d_cycle
runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_逆光_20260826_164329,module_c_full_逆光_20260826_164329/metrics_iter01,full,逆光,1,45,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_逆光_20260826_164329\metrics_iter01.csv,53,38.0,1.0,1.0,1.0,1.0,,,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_逆光_20260826_164329\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_逆光_20260826_164329\result_summary_iter01.json,1.3266222874323528,1.1549650033315022,1.3087158203125,0.81456325451533,1.647780458132426,0.23719907800356546,0.8543877204259237,0.9583333333333334,0.9041666666666667,0.28110067049662274
runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_逆光_20260826_164329,module_c_full_逆光_20260826_164329/metrics_iter02,full,逆光,2,46,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_逆光_20260826_164329\metrics_iter02.csv,48,33.0,0.972972972972973,0.9777777777777779,0.9861111111111112,0.980246913580247,,,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_逆光_20260826_164329\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_逆光_20260826_164329\result_summary_iter02.json,1.4180687268575032,1.3338085015614827,1.4375041723251343,1.1941309372584026,1.9464871486028035,0.24515801668167114,0.7828022837638855,0.8625,0.8583333333333333,0.29067566990852356
runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_逆光_20260826_164329,module_c_full_逆光_20260826_164329/metrics_iter03,full,逆光,3,47,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_逆光_20260826_164329\metrics_iter03.csv,59,44.0,1.0,1.0,1.0,1.0,,,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_逆光_20260826_164329\feature_embeddings_iter03.npz,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_逆光_20260826_164329\result_summary_iter03.json,1.30086616675059,1.1583636204401653,1.2687679131825764,0.5558883349100748,1.6998880704243977,0.23922832310199738,0.6129043698310852,0.9625,0.9083333333333333,0.27914586663246155
runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雨天_20260826_164329,module_c_full_雨天_20260826_164329/metrics_iter01,full,雨天,1,51,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雨天_20260826_164329\metrics_iter01.csv,60,55.0,0.8076923076923077,0.9074074074074074,0.8833333333333333,0.8618233618233617,0.84375,0.03605769230769229,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雨天_20260826_164329\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雨天_20260826_164329\result_summary_iter01.json,1.0427188873291016,1.0734267234802246,0.9968594312667847,0.4641856253147125,1.5743144353230794,0.23909726242224374,1.0548110008239746,0.9583333333333334,0.9416666666666667,0.28038641810417175
runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雨天_20260826_164329,module_c_full_雨天_20260826_164329/metrics_iter02,full,雨天,2,52,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雨天_20260826_164329\metrics_iter02.csv,60,49.0,0.8076923076923077,0.8888888888888888,0.8833333333333333,0.8552188552188551,,,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雨天_20260826_164329\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雨天_20260826_164329\result_summary_iter02.json,0.9099065264066061,1.0176802078882854,0.8726114432017008,0.7890681823094686,1.5245760281880696,0.2421510616938273,0.49382444222768146,0.9833333333333333,0.975,0.2607877453168233
runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雨天_20260826_164329,module_c_full_雨天_20260826_164329/metrics_iter03,full,雨天,3,53,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雨天_20260826_164329\metrics_iter03.csv,43,28.0,0.9615384615384616,0.9666666666666667,0.9666666666666667,0.9629629629629629,,,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雨天_20260826_164329\feature_embeddings_iter03.npz,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雨天_20260826_164329\result_summary_iter03.json,1.042672038078308,1.0791924794514973,1.0180720488230388,0.8811377882957458,1.5506885051727295,0.23734601338704428,1.1460800170898438,0.9833333333333333,0.9291666666666667,0.27404669920603436
runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雾天_20260826_164329,module_c_full_雾天_20260826_164329/metrics_iter01,full,雾天,1,48,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雾天_20260826_164329\metrics_iter01.csv,54,47.0,0.9848484848484849,0.9876190476190475,0.9801587301587301,0.9830499893991956,,,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雾天_20260826_164329\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雾天_20260826_164329\result_summary_iter01.json,0.9633435777255467,1.0302858693259103,0.8084155235971723,0.39776287760053364,1.6094687155314855,0.21131051012447902,0.6350675736154828,0.9857142857142858,0.9928571428571429,0.21108045535428183
runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雾天_20260826_164329,module_c_full_雾天_20260826_164329/metrics_iter02,full,雾天,2,49,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雾天_20260826_164329\metrics_iter02.csv,53,38.0,0.9772727272727273,0.9684900284900285,0.9718762718762718,0.968654159937453,,,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雾天_20260826_164329\feature_embeddings_iter02.npz,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雾天_20260826_164329\result_summary_iter02.json,1.2310785395758492,1.1211496250970023,1.1072570255824499,0.5427620751517159,1.70293242590768,0.21543138367789133,0.48240645442690167,0.9517857142857142,0.9678571428571429,0.23167086924825395
runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雾天_20260826_164329,module_c_full_雾天_20260826_164329/metrics_iter03,full,雾天,3,50,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雾天_20260826_164329\metrics_iter03.csv,60,53.0,0.9848484848484849,0.9876190476190475,0.9801587301587301,0.9830499893991956,,,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雾天_20260826_164329\feature_embeddings_iter03.npz,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_雾天_20260826_164329\result_summary_iter03.json,0.9579738293375287,1.0119873796190535,0.7958495702062335,0.3699536493846348,1.5890680381229945,0.20578293928078242,0.5161725665841784,0.9910714285714286,0.9892857142857143,0.2068886991058077
runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_黑天_20260826_164329,module_c_full_黑天_20260826_164329/metrics_iter01,full,黑天,1,42,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_黑天_20260826_164329\metrics_iter01.csv,41,26.0,0.9666666666666667,0.928228021978022,0.9611013986013986,0.9367649893965683,,,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_黑天_20260826_164329\feature_embeddings_iter01.npz,runs\module_c_ablation_60_v4\module_c_20260826_164328\module_c_full_黑天_20260826_164329\result_summary_iter01.json,0.8877359529336294,0.8089146216710409,0.7715966602166494,0.5123835802078247,1.1745807528495789,0.21863550692796707,0.41059812903404236,0.9916666666666667,0.9895833333333334,0.2294842650492986
